# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	12882	13316	+	COILCL_00016	slyA	transcriptional regulator SlyA	COG:COG1846, COG:K, GO:0003677, GO:0003700, GO:0006355, GO:0006950, SO:0001217, UniParc:UPI00021865B0, UniRef:UniRef100_A0A378B4C5, UniRef:UniRef50_P40676, UniRef:UniRef90_B5XWN4
contig_1	cds	13350	14711	-	COILCL_00017	gGDEF	diguanylate cyclase	COG:COG2199, COG:T, RefSeq:WP_004180166.1, SO:0001217, UniParc:UPI0002410A90, UniRef:UniRef100_A0A081IHR9, UniRef:UniRef50_A0A081IHR9, UniRef:UniRef90_A0A081IHR9
contig_1	cds	14934	15401	-	COILCL_00018	slyB	outer membrane lipoprotein SlyB	BlastRules:WP_000597179, COG:COG3133, COG:M, RefSeq:WP_002907749.1, SO:0001217, UniParc:UPI00003DDA91, UniRef:UniRef100_A0A0H3GUH2, UniRef:UniRef50_P31484, UniRef:UniRef90_A0A1Y6GIC4
contig_1	cds	15669	16793	+	COILCL_00019	anmK	anhydro-N-acetylmuramic acid kinase	COG:COG2377, COG:M, EC:2.7.1.170, GO:0005524, GO:0006040, GO:0009254, GO:0016301, GO:0016773, GO:0097175, KEGG:K09001, RefSeq:WP_004143831.1, SO:0001217, UniParc:UPI0001576E28, UniRef:UniRef100_A6T9Y8, UniRef:UniRef50_P77570, UniRef:UniRef90_A6T9Y8
contig_1	cds	16850	17209	+	COILCL_00020	mliC	C-type lysozyme inhibitor	COG:COG3895, COG:M, SO:0001217, UniParc:UPI0001576D75, UniRef:UniRef100_A0A0H3GYW9, UniRef:UniRef50_P28224, UniRef:UniRef90_A0A377UH81
contig_1	cds	17261	17923	+	COILCL_00021	pdxH	pyridoxamine 5'-phosphate oxidase	COG:COG0259, COG:H, EC:1.4.3.5, GO:0004733, GO:0008615, GO:0010181, GO:0042823, RefSeq:WP_004175864.1, SO:0001217, UniParc:UPI0001576D74, UniRef:UniRef100_A6T9Y6, UniRef:UniRef50_P0AFI7, UniRef:UniRef90_A6T9Y6
contig_1	cds	18048	19322	+	COILCL_00022	tyrS	tyrosine--tRNA ligase	COG:COG0162, COG:J, EC:6.1.1.1, GO:0000166, GO:0003723, GO:0004831, GO:0005524, GO:0005829, GO:0006437, KEGG:K01866, RefSeq:WP_002907740.1, SO:0001217, UniParc:UPI00021865AD, UniRef:UniRef100_A6T9Y5, UniRef:UniRef50_P0AGJ9, UniRef:UniRef90_P0AGJ9
contig_1	cds	19384	20244	+	COILCL_00023	pdxY	pyridoxal kinase PdxY	COG:COG2240, COG:H, EC:2.7.1.35, GO:0008478, GO:0009443, KEGG:K00868, RefSeq:WP_002907739.1, SO:0001217, UniParc:UPI0001576D72, UniRef:UniRef100_A0A0H3GUH0, UniRef:UniRef50_P77150, UniRef:UniRef90_A0A7H4MXY1
contig_1	cds	20287	20892	-	COILCL_00024	gstA	glutathione transferase GstA	COG:COG0625, COG:O, EC:2.5.1.18, GO:0005515, GO:0006749, RefSeq:WP_002907736.1, SO:0001217, UniParc:UPI0001576D71, UniRef:UniRef100_A0A377ZMJ6, UniRef:UniRef50_P15214, UniRef:UniRef90_A0A2V3KW10
contig_1	cds	21003	22508	-	COILCL_00025	dtpA	dipeptide/tripeptide permease DtpA	COG:COG3104, COG:E, GO:0005886, GO:0015031, GO:0015333, GO:0015833, GO:0016020, GO:0042937, GO:0055085, GO:0071916, GO:1904680, RefSeq:WP_004151206.1, SO:0001217, UniParc:UPI0001A58A4B, UniRef:UniRef100_A0A0H3GYW4, UniRef:UniRef50_P77304, UniRef:UniRef90_A4W9W3
contig_1	cds	22699	22956	+	COILCL_00026		hypothetical protein	SO:0001217, UniParc:UPI00029CAF5B, UniRef:UniRef100_A0AAX3FCZ3, UniRef:UniRef50_A0A0H3GQQ6, UniRef:UniRef90_A0A0H3GQQ6
contig_1	cds	23116	23751	-	COILCL_00027	nth	endonuclease III	COG:COG0177, COG:L, EC:4.2.99.18, GO:0003677, GO:0003906, GO:0006284, GO:0006285, GO:0019104, GO:0046872, GO:0051539, GO:0140078, RefSeq:WP_002907734.1, SO:0001217, UniParc:UPI0001576D6E, UniRef:UniRef100_A0A0H3GTN3, UniRef:UniRef50_P0AB83, UniRef:UniRef90_P0AB83
contig_1	cds	23753	24451	-	COILCL_00028	rnfE	Ion-translocating oxidoreductase complex subunit E	COG:C, COG:COG4660, EC:7.-.-.-, GO:0005886, GO:0022900, RefSeq:WP_002907733.1, SO:0001217, UniParc:UPI0001A58A49, UniRef:UniRef100_A0A378B479, UniRef:UniRef50_P77179, UniRef:UniRef90_B5XWP6
contig_1	cds	24454	25077	-	COILCL_00029	rsxG	electron transport complex subunit RsxG	COG:C, COG:COG4659, GO:0009055, GO:0010181, GO:0016020, GO:0022900, RefSeq:WP_004175874.1, SO:0001217, UniParc:UPI0002410A95, UniRef:UniRef100_A0A0H3GP60, UniRef:UniRef50_P77285, UniRef:UniRef90_A0A0F0JXC0
contig_1	cds	25085	26137	-	COILCL_00030	rsxD	electron transport complex subunit RsxD	COG:C, COG:COG4658, EC:7.-.-.-, GO:0005886, GO:0016020, GO:0022900, GO:0055085, RefSeq:WP_002907730.1, SO:0001217, UniParc:UPI0001576D6B, UniRef:UniRef100_A0A0H3GYV9, UniRef:UniRef50_P76182, UniRef:UniRef90_B5XWP8
contig_1	assembly_gap	26333	26432	.				
contig_1	cds	28157	28735	-	COILCL_00031	rsxB	electron transport complex subunit RsxB	COG:C, COG:COG2878, EC:7.-.-.-, GO:0005886, GO:0009055, GO:0022900, GO:0046872, GO:0051536, GO:0051539, RefSeq:WP_004143816.1, SO:0001217, UniParc:UPI0001576D69, UniRef:UniRef100_A0A378B6C2, UniRef:UniRef50_P77223, UniRef:UniRef90_B5XWQ0
contig_1	cds	28735	29316	-	COILCL_00032	rsxA	electron transport complex subunit RsxA	COG:C, COG:COG4657, EC:7.-.-.-, GO:0005886, GO:0016020, GO:0022900, KEGG:K03617, RefSeq:WP_002907658.1, SO:0001217, UniParc:UPI00018142B1, UniRef:UniRef100_B5XWQ1, UniRef:UniRef50_P0A766, UniRef:UniRef90_P0A766
contig_1	cds	29395	29835	-	COILCL_00033		Oxidoreductase	RefSeq:WP_002907654.1, SO:0001217, UniParc:UPI0001A58A46, UniRef:UniRef100_A0A0H3GYV6, UniRef:UniRef50_A0A090V4A7, UniRef:UniRef90_A6T9X3
contig_1	cds	29911	30126	-	COILCL_00034	ydgT	transcription modulator YdgT	KEGG:K05839, RefSeq:WP_002907652.1, SO:0001217, UniParc:UPI0001A58A45, UniRef:UniRef100_A0A0H3GQP8, UniRef:UniRef50_A0A0H3NGF1, UniRef:UniRef90_A0A0H3GQP8
contig_1	cds	30343	31713	-	COILCL_00035	bglB	GH1 family beta-glucosidase	COG:COG2723, COG:G, EC:3.2.1.21, GO:0008422, GO:0030245, RefSeq:WP_004180160.1, SO:0001217, UniParc:UPI0001576D65, UniRef:UniRef100_A0A0H3GTM8, UniRef:UniRef50_A0A379ZW91, UniRef:UniRef90_A0A7H4PLU2
contig_1	cds	32157	33197	+	COILCL_00036	mviM	Oxidoreductase	COG:COG0673, COG:R, RefSeq:WP_032435185.1, SO:0001217, UniParc:UPI000448362D, UniRef:UniRef100_A0AAX3FD89, UniRef:UniRef50_P77376, UniRef:UniRef90_A0A0E9Z9P9
contig_1	cds	33233	34234	-	COILCL_00037	add	adenosine deaminase	COG:COG1816, COG:F, EC:3.5.4.4, GO:0004000, GO:0005829, GO:0006154, GO:0008270, GO:0009117, GO:0009168, GO:0043103, GO:0046103, GO:0046936, RefSeq:WP_004151209.1, SO:0001217, UniParc:UPI0001576D62, UniRef:UniRef100_A6T9W8, UniRef:UniRef50_P22333, UniRef:UniRef90_A6T9W8
contig_1	cds	34392	35609	-	COILCL_00038		Major facilitator transporter	SO:0001217, UniParc:UPI000452A5D5, UniRef:UniRef100_A0AAX3FDY7, UniRef:UniRef50_A0A0C7KN11, UniRef:UniRef90_A0AAX3FDY7
contig_1	cds	35740	36204	+	COILCL_00039		Transcriptional regulator	RefSeq:WP_023301030.1, SO:0001217, UniParc:UPI00039F4D41, UniRef:UniRef100_A0A919HP91, UniRef:UniRef50_U3TYF2, UniRef:UniRef90_A0A919HP91
contig_1	cds	36448	36633	+	COILCL_00040		hypothetical protein	RefSeq:WP_002907644.1, SO:0001217, UniParc:UPI0001576D5F, UniRef:UniRef100_A0A0H3GTL3, UniRef:UniRef50_A0A0H3GTL3, UniRef:UniRef90_A0A0H3GTL3
contig_1	cds	36643	37005	-	COILCL_00041		RND transporter	RefSeq:WP_004143806.1, SO:0001217, UniParc:UPI0001A58A40, UniRef:UniRef100_W9BH87, UniRef:UniRef50_A0A0H3GUA6, UniRef:UniRef90_A0A0H3GUA6
contig_1	cds	37265	37792	+	COILCL_00042	cybB	cytochrome b561	COG:C, COG:COG3038, GO:0009055, GO:0016020, GO:0022904, RefSeq:WP_002907640.1, SO:0001217, UniParc:UPI0001576D5E, UniRef:UniRef100_A0A0H3GP36, UniRef:UniRef50_P0ABE5, UniRef:UniRef90_A0A378B5D9
contig_1	cds	37898	38173	+	COILCL_00043	frmR	Transcriptional repressor FrmR	COG:COG1937, COG:K, KEGG:K23239, RefSeq:WP_002907563.1, SO:0001217, UniParc:UPI0001576CAB, UniRef:UniRef100_A0A0H3GYS3, UniRef:UniRef50_A0A085GDL0, UniRef:UniRef90_A0A087FJW2
contig_1	cds	38198	39316	+	COILCL_00044	frmA	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	COG:C, COG:COG1062, GO:0004022, GO:0008270, GO:0051903, RefSeq:WP_004189749.1, SO:0001217, UniParc:UPI000241E01B, UniRef:UniRef100_A0A0H3GQL7, UniRef:UniRef50_B7LRF6, UniRef:UniRef90_B7LRF6
contig_1	cds	39386	41758	-	COILCL_00045	gcd	Glucose dehydrogenase	COG:COG4993, COG:G, RefSeq:WP_019705725.1, SO:0001217, UniParc:UPI0002F68437, UniRef:UniRef100_A0A367NUT0, UniRef:UniRef50_W9BGR5, UniRef:UniRef90_W9BGR5
contig_1	cds	42058	42981	-	COILCL_00046	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, RefSeq:WP_004143800.1, SO:0001217, UniParc:UPI0001576CA8, UniRef:UniRef100_A0A0H3GU99, UniRef:UniRef50_B7LQX5, UniRef:UniRef90_A0A285B368
contig_1	cds	43159	43779	-	COILCL_00047	pcaG	protocatechuate 3,4-dioxygenase subunit alpha	COG:COG3485, COG:Q, EC:1.13.11.3, GO:0005506, GO:0018578, GO:0046278, KEGG:K00448, RefSeq:WP_004184258.1, SO:0001217, UniParc:UPI0002830CEE, UniRef:UniRef100_W9BPF2, UniRef:UniRef50_A0A501WM17, UniRef:UniRef90_A0A288TLI1
contig_1	cds	43776	44516	-	COILCL_00048	pcaH	protocatechuate 3,4-dioxygenase subunit beta	COG:COG3485, COG:Q, EC:1.13.11.3, GO:0005506, GO:0018578, GO:0046278, KEGG:K00449, RefSeq:WP_002907552.1, SO:0001217, UniParc:UPI000205B1C4, UniRef:UniRef100_A0A0H3GYR7, UniRef:UniRef50_P20372, UniRef:UniRef90_A0A085GEX4
contig_1	cds	44756	46099	+	COILCL_00049	ydcJ	2-oxoadipate dioxygenase/decarboxylase	COG:COG5383, COG:R, EC:1.13.11.93, KEGG:K25986, RefSeq:WP_002907549.1, SO:0001217, UniParc:UPI0001576CA5, UniRef:UniRef100_A0A0C7KN52, UniRef:UniRef50_P76097, UniRef:UniRef90_A0A0H3GQL4
contig_1	cds	46141	47646	+	COILCL_00050	pnbA	Carboxylic ester hydrolase	COG:COG2272, COG:I, RefSeq:WP_032435191.1, SO:0001217, UniParc:UPI00044AD345, UniRef:UniRef100_A0AAX2N3J7, UniRef:UniRef50_G8LPC1, UniRef:UniRef90_A0A377WLK0
contig_1	cds	47693	48781	-	COILCL_00051	frmA	Benzyl alcohol dehydrogenase	COG:C, COG:COG1062, RefSeq:WP_020804076.1, SO:0001217, UniParc:UPI00034218B7, UniRef:UniRef100_A0A9Q8BKU8, UniRef:UniRef50_A0A0W8AUC6, UniRef:UniRef90_A0A0W8AUC6
contig_1	cds	49030	50874	+	COILCL_00052	mdoD	Glucans biosynthesis protein D	COG:COG3131, COG:M, GO:0003824, GO:0030246, GO:0030288, GO:0051274, KEGG:K03670, SO:0001217, UniRef:UniRef50_P40120, UniRef:UniRef90_B5XWS2
contig_1	cds	50928	51506	+	COILCL_00053	rimL	50S ribosomal protein L7/L12-serine acetyltransferase	COG:COG1670, COG:JO, EC:2.3.1.-, RefSeq:WP_002907487.1, SO:0001217, UniParc:UPI000205B1BF, UniRef:UniRef100_A0A0C7KN00, UniRef:UniRef50_P13857, UniRef:UniRef90_A0A087FJX1
contig_1	cds	51492	52472	-	COILCL_00054	ydcK	YdcK family protein	RefSeq:WP_020804082.1, SO:0001217, UniParc:UPI0003421677, UniRef:UniRef100_A0A9Q4TTB1, UniRef:UniRef50_P76100, UniRef:UniRef90_B5XWS4
contig_1	cds	52584	53588	+	COILCL_00055	tehA	dicarboxylate transporter/tellurite-resistance protein TehA	COG:COG1275, COG:V, GO:0016020, GO:0055085, RefSeq:WP_002907483.1, SO:0001217, UniParc:UPI0001A589F6, UniRef:UniRef100_A0A0H3GTJ7, UniRef:UniRef50_P25396, UniRef:UniRef90_A0A0B7G9D5
contig_1	cds	53585	54181	+	COILCL_00056	tehB	tellurite resistance methyltransferase TehB	COG:C, COG:COG4106, EC:2.1.1.265, GO:0008757, GO:0046690, RefSeq:WP_032424190.1, SO:0001217, UniParc:UPI0004508327, UniRef:UniRef100_A0A919HPA9, UniRef:UniRef50_A0A370V5S7, UniRef:UniRef90_A0A1L5SQ00
contig_1	cds	54441	55109	+	COILCL_00057		DUF3313 domain-containing protein	RefSeq:WP_004184252.1, SO:0001217, UniParc:UPI0001576C9D, UniRef:UniRef100_A0A0H3GP23, UniRef:UniRef50_B7LR86, UniRef:UniRef90_A0A0H3GP23
contig_1	cds	55156	56052	-	COILCL_00058	rhaT	EamA domain-containing protein	COG:COG0697, COG:GER, RefSeq:WP_032435192.1, SO:0001217, UniParc:UPI00044EC14B, UniRef:UniRef100_A0AAX2N4R7, UniRef:UniRef50_Q6FFM3, UniRef:UniRef90_A0A8B6IKU3
contig_1	cds	56233	57102	+	COILCL_00059	araC	AraC family transcriptional regulator	COG:COG2207, COG:K, RefSeq:WP_032435193.1, SO:0001217, UniParc:UPI00044C5DDE, UniRef:UniRef100_A0AAX3FEV3, UniRef:UniRef50_A0A377XWZ7, UniRef:UniRef90_A0A377XWZ7
contig_1	cds	57079	58245	-	COILCL_00060	benE	Benzoate transport protein	COG:COG3135, COG:Q, KEGG:K05782, RefSeq:WP_004214979.1, SO:0001217, UniParc:UPI0001A589F1, UniRef:UniRef100_A0A060VPF6, UniRef:UniRef50_P76103, UniRef:UniRef90_W9BGQ8
contig_1	cds	58430	58999	+	COILCL_00061	hipB	Cro/CI family transcriptional regulator	COG:COG1396, COG:K, RefSeq:WP_002907473.1, SO:0001217, UniParc:UPI0001576C99, UniRef:UniRef100_A0A0H3GP19, UniRef:UniRef50_A0A0Q4MJ99, UniRef:UniRef90_A0A223UBB6
contig_1	cds	59211	61172	+	COILCL_00062	rlhA	Protease YdcP	COG:COG0826, COG:J, KEGG:K24847, RefSeq:WP_002907469.1, SO:0001217, UniParc:UPI0001576BDA, UniRef:UniRef100_A0A0H3GQJ9, UniRef:UniRef50_P76104, UniRef:UniRef90_J6I9P9
contig_1	cds	61185	61415	-	COILCL_00063		DUF2554 domain-containing protein	RefSeq:WP_004143781.1, SO:0001217, UniParc:UPI0001A589F0, UniRef:UniRef100_A0A0H3GTI9, UniRef:UniRef50_A0A564KZA7, UniRef:UniRef90_A0A0H3GTI9
contig_1	cds	61564	61866	-	COILCL_00064		Acid shock protein	RefSeq:WP_032435195.1, SO:0001217, UniParc:UPI00044C8DBC, UniRef:UniRef100_A0A6B2J9S5, UniRef:UniRef50_A0A0H3GU77, UniRef:UniRef90_A0A6B2EKJ2
contig_1	cds	61962	62087	-	COILCL_00065		DUF2474 domain-containing protein	EC:7.1.1.7, KEGG:K00426, RefSeq:WP_004180143.1, SO:0001217, UniParc:UPI0001576BD8, UniRef:UniRef100_A0A0H3GP16, UniRef:UniRef50_A0A378A1Q0, UniRef:UniRef90_A0A0H3GP16
contig_1	cds	62087	63097	-	COILCL_00066	cydB	cytochrome d ubiquinol oxidase subunit II	COG:C, COG:COG1294, EC:7.1.1.-, EC:7.1.1.7, GO:0016682, KEGG:K00426, RefSeq:WP_032435197.1, SO:0001217, UniParc:UPI0004479BC0, UniRef:UniRef100_A0AAX3FD67, UniRef:UniRef50_A0A486MVF3, UniRef:UniRef90_A0A486MVF3
contig_1	cds	63097	64494	-	COILCL_00067	appC	Cytochrome bd2	COG:C, COG:COG1271, EC:7.1.1.7, KEGG:K00425, RefSeq:WP_004189768.1, SO:0001217, UniParc:UPI00029CC217, UniRef:UniRef100_A0A2D2G7T3, UniRef:UniRef50_Q8ZRG3, UniRef:UniRef90_A0A8B4TN75
contig_1	cds	64963	65061	+	COILCL_00068		hypothetical protein	SO:0001217, UniParc:UPI0002186516, UniRef:UniRef100_A0A377ZKS1, UniRef:UniRef50_A0A377ZKS1, UniRef:UniRef90_A0A377ZKS1
contig_1	cds	65182	66594	+	COILCL_00069	aRO8	GntR family transcriptional regulator	COG:COG1167, COG:KE, RefSeq:WP_004898563.1, SO:0001217, UniParc:UPI0002186515, UniRef:UniRef100_A0AAJ5PJY6, UniRef:UniRef50_A0A9Q9S8Z8, UniRef:UniRef90_A0A377V452
contig_1	cds	66899	68044	+	COILCL_00070	ydcS	putative ABC transporter substrate-binding protein YdcS	COG:COG0687, COG:E, RefSeq:WP_002907384.1, SO:0001217, UniParc:UPI0001576BD4, UniRef:UniRef100_A0A0H3GU72, UniRef:UniRef50_P76108, UniRef:UniRef90_A0A483FIM7
contig_1	cds	68061	69074	+	COILCL_00071	potA	ABC transporter ATP-binding protein	COG:COG3842, COG:E, RefSeq:WP_004184243.1, SO:0001217, UniParc:UPI0001576BD3, UniRef:UniRef100_A0A0C7KK25, UniRef:UniRef50_P77795, UniRef:UniRef90_A0A086IL61
contig_1	cds	69076	70005	+	COILCL_00072	potB	Spermidine Putrescine ABC transporter permease PotB	COG:COG1176, COG:E, RefSeq:WP_004189770.1, SO:0001217, UniParc:UPI0001576BD2, UniRef:UniRef100_A0A0H3GYN2, UniRef:UniRef50_P77156, UniRef:UniRef90_A0A1V8GQ99
contig_1	cds	69995	70801	+	COILCL_00073	potC	ABC transporter permease	COG:COG1177, COG:E, RefSeq:WP_004212384.1, SO:0001217, UniParc:UPI0002410C63, UniRef:UniRef100_A0AAJ5PIZ9, UniRef:UniRef50_P0AFR9, UniRef:UniRef90_A0A2X2ESP5
contig_1	cds	70824	72251	+	COILCL_00074	patD	aminobutyraldehyde dehydrogenase	COG:COG1012, COG:I, EC:1.2.1.19, GO:0009447, GO:0019145, GO:0051287, RefSeq:WP_009307739.1, SO:0001217, UniParc:UPI0002410C64, UniRef:UniRef100_A0AAJ5PIQ2, UniRef:UniRef50_Q8ZPC9, UniRef:UniRef90_A6T9T4
contig_1	ncRNA	72367	72427	+	COILCL_00075	rydB	rydB RNA	RFAM:RF00118, SO:0000655
contig_1	cds	72592	72714	-	COILCL_00076		Lysis protein	RefSeq:WP_004175940.1, SO:0001217, UniParc:UPI0001576BCF, UniRef:UniRef100_A0A0H3GP08, UniRef:UniRef50_A0A223UAR6, UniRef:UniRef90_A0A223UAR6
contig_1	cds	73501	73593	-	COILCL_00077	yncL	stress response membrane protein YncL	RefSeq:WP_002906891.1, SO:0001217, UniParc:UPI0001A589E6, UniRef:UniRef100_A0A378B5T7, UniRef:UniRef50_A0A378B5T7, UniRef:UniRef90_A0A378B5T7
contig_1	cds	73788	73961	+	COILCL_00078		GhoT/OrtT family toxin	RefSeq:WP_002906888.1, SO:0001217, UniParc:UPI0002186511, UniRef:UniRef100_A0A0H3GQI2, UniRef:UniRef50_A0A0H3GQI2, UniRef:UniRef90_A0A0H3GQI2
contig_1	cds	74050	74799	+	COILCL_00079		Alpha/beta fold family hydrolase	RefSeq:WP_032435201.1, SO:0001217, UniParc:UPI00044F1DAD, UniRef:UniRef100_A0AAX2N8S1, UniRef:UniRef50_A0A485BK06, UniRef:UniRef90_A0AAX2N8S1
contig_1	cds	74813	76246	-	COILCL_00080	adhE	Aldehyde dehydrogenase	COG:COG1012, COG:I, RefSeq:WP_004180137.1, SO:0001217, UniParc:UPI000218650F, UniRef:UniRef100_A0A1V7WW28, UniRef:UniRef50_A0A6G7YM56, UniRef:UniRef90_A0A486KX81
contig_1	cds	76516	78114	+	COILCL_00081	ddpA	ABC transporter substrate-binding protein	COG:COG0747, COG:E, KEGG:K12368, RefSeq:WP_002906804.1, SO:0001217, UniParc:UPI0001576BCA, UniRef:UniRef100_A0A086IL54, UniRef:UniRef50_P33950, UniRef:UniRef90_A0A086IL54
contig_1	cds	78131	78364	+	COILCL_00082		DUF2526 domain-containing protein	RefSeq:WP_004180136.1, SO:0001217, UniParc:UPI0001576BC9, UniRef:UniRef100_A0A0H3GTH6, UniRef:UniRef50_B7LQS6, UniRef:UniRef90_A0A0H3GTH6
contig_1	cds	78373	78822	-	COILCL_00083	ydcZ	EamA-like transporter family protein	COG:COG3238, COG:S, KEGG:K09936, RefSeq:WP_004180135.1, SO:0001217, UniParc:UPI0001576BC8, UniRef:UniRef100_A0A0H3GU52, UniRef:UniRef50_A0A090UZN9, UniRef:UniRef90_A0A1F2MCX5
contig_1	cds	78819	79337	-	COILCL_00084	mnaT	Hypothetical acetyltransferase	COG:COG1247, COG:E, EC:2.3.1.-, KEGG:K24217, RefSeq:WP_002906796.1, SO:0001217, UniParc:UPI0001576BC7, UniRef:UniRef100_A0A0H3GP00, UniRef:UniRef50_Q88DH9, UniRef:UniRef90_A0A8B4TN57
contig_1	cds	79498	80079	+	COILCL_00085	hipB	Transcriptional regulator	COG:COG1396, COG:K, RefSeq:WP_032435202.1, SO:0001217, UniParc:UPI00044B3932, UniRef:UniRef100_A0A919LQZ5, UniRef:UniRef50_A0A1C2DPD6, UniRef:UniRef90_A0A087FP14
contig_1	cds	80145	81182	+	COILCL_00086	curA	Oxidoreductase YncB	COG:COG2130, COG:QR, RefSeq:WP_032435204.1, SO:0001217, UniParc:UPI0004516AC7, UniRef:UniRef100_A0A919HPD9, UniRef:UniRef50_P76113, UniRef:UniRef90_A0A378B3M4
